OrderID,OrderDate,Region,Category,Sub-Category,CustomerSegment,PaymentMethod,ShipMode,Quantity,UnitPrice,Discount,Sales,Profit
O1000,2022-01-01,East,Home Appliances,Women,Consumer,Credit Card,Standard,2,2890.62,0.28,4162.4928,702.65
O1001,2022-01-02,West,Groceries,Outdoor,Home Office,Credit Card,Standard,4,1896.18,0.12,6674.5536,1126.71
O1002,2022-01-03,North,Toys,Indoor,Consumer,Debit Card,Same Day,7,3584.43,0.4,15054.605999999998,2541.31
O1003,2022-01-04,East,Home Appliances,Outdoor,Consumer,Cash,Standard,2,3385.75,0.04,6500.639999999999,1097.35
O1004,2022-01-05,East,Electronics,Headphones,Home Office,Credit Card,Express,5,2918.46,0.06,13716.761999999999,2315.47
O1005,2022-01-06,West,Groceries,Outdoor,Home Office,Cash,Standard,7,4314.95,0.36,19330.976,3263.19
O1006,2022-01-07,North,Toys,Snacks,Consumer,,Express,9,554.41,0.05,4740.205499999999,800.18
O1007,2022-01-08,North,Electronics,Fruits,Consumer,Cash,Express,8,1540.07,0.15,10472.475999999999,1767.82
O1008,2022-01-09,East,Electronics,Microwave,Consumer,UPI,Express,9,2500.9,0.29,15980.751,2697.65
O1009,2022-01-10,South,Electronics,Outdoor,Consumer,UPI,Same Day,7,4795.09,0.32,22824.6284,3852.94
O1010,2022-01-11,East,Electronics,Indoor,Corporate,Cash,Same Day,3,406.22,0.38,755.5692,127.54
O1011,2022-01-12,East,Home Appliances,Men,Consumer,Credit Card,Express,1,1718.53,0.32,1168.6003999999998,197.27
O1012,2022-01-13,East,Home Appliances,Mobile,Corporate,Debit Card,Express,7,4633.16,0.34,21405.199199999995,3613.33
O1013,2022-01-14,East,Home Appliances,Washing Machine,Home Office,Cash,Standard,6,4494.84,0.38,16720.8048,2822.57
O1014,2022-01-15,West,Toys,Indoor,Corporate,Wallet,Standard,2,4332.97,0.22,6759.4332,1141.03
O1015,2022-01-16,North,Toys,Men,Home Office,Debit Card,Standard,1,1576.53,0.14,1355.8157999999999,228.87
O1016,2022-01-17,West,Toys,TV,Corporate,Wallet,Same Day,4,4241.84,0.3,11877.152,2004.94
O1017,2022-01-18,West,Clothing,Refrigerator,Home Office,Cash,Standard,4,2551.43,0.07,9491.319599999999,1602.19
O1018,2022-01-19,West,Toys,Washing Machine,Consumer,Credit Card,Express,6,3117.91,0.03,18146.2362,3063.19
O1019,2022-01-20,East,Home Appliances,Outdoor,Corporate,Wallet,Express,5,1232.18,0.31,4251.021,717.6
O1020,2022-01-21,South,Home Appliances,Microwave,Corporate,Cash,Same Day,9,3548.04,0.38,19798.0632,3342.03
O1021,2022-01-22,North,Clothing,Men,Home Office,Debit Card,Same Day,8,1672.1,0.18,10968.976,1851.63
O1022,2022-01-23,South,Clothing,Washing Machine,Home Office,Credit Card,Standard,9,1752.21,0.06,14823.6966,2502.33
O1023,2022-01-24,West,Toys,Beverages,Corporate,Wallet,Same Day,7,3202.25,0.2,17932.600000000002,3027.13
O1024,2022-01-25,West,Groceries,Kids,Home Office,Cash,Express,9,1237.17,0.16,9353.0052,1578.84
O1025,2022-01-26,South,Clothing,Headphones,Consumer,Credit Card,Express,3,1160.97,0.15,2960.4734999999996,499.75
O1026,2022-01-27,South,Electronics,TV,Corporate,Credit Card,Same Day,9,1877.36,0.25,12672.179999999998,2139.14
O1027,2022-01-28,South,Home Appliances,Outdoor,Consumer,UPI,Express,2,3901.41,0.07,7256.6226,1224.96
O1028,2022-01-29,West,Electronics,Indoor,Corporate,Credit Card,Same Day,9,1162.18,0.15,8890.677,1500.8
O1029,2022-01-30,West,Home Appliances,Beverages,Consumer,Cash,Express,6,3947.23,0.35,15394.197000000002,2598.63
O1030,2022-01-31,North,Home Appliances,TV,Corporate,Debit Card,Standard,4,3493.25,0.29,9920.83,1674.7
O1031,2022-02-01,North,Clothing,TV,Home Office,UPI,Same Day,2,3411.45,0.02,6686.441999999999,1128.71
O1032,2022-02-02,West,Clothing,TV,Corporate,Cash,Same Day,3,2400.04,0.21,5688.0948,960.18
O1033,2022-02-03,South,Electronics,Laptop,Consumer,Cash,Same Day,5,3742.14,0.04,17962.272,3032.14
O1034,2022-02-04,South,Home Appliances,Microwave,Corporate,Cash,Express,9,116.92,0.38,652.4136,110.13
O1035,2022-02-05,North,Electronics,Men,Consumer,Wallet,Standard,7,1562.76,0.1,9845.388,1661.96
O1036,2022-02-06,West,Groceries,Kids,Consumer,Wallet,Same Day,3,3411.73,0.37,6448.1697,1088.49
O1037,2022-02-07,North,Electronics,Beverages,Consumer,Debit Card,Express,4,4937.11,0.33,13231.454799999998,2233.55
O1038,2022-02-08,North,Toys,Microwave,Home Office,Cash,Same Day,2,62.45,0.22,97.42200000000001,16.45
O1039,2022-02-09,East,Electronics,Mobile,Corporate,Wallet,Express,8,2574.36,0.13,17917.5456,3024.59
O1040,2022-02-10,East,Toys,TV,Consumer,Wallet,Standard,6,4622.99,0.34,18307.040399999998,3090.34
O1041,2022-02-11,East,Toys,Outdoor,Home Office,Wallet,Express,3,4324.52,0.06,12195.1464,2058.61
O1042,2022-02-12,South,Toys,Indoor,Consumer,Debit Card,Express,5,164.52,0.07,765.0179999999999,129.14
O1043,2022-02-13,West,Groceries,Fruits,Corporate,Debit Card,Same Day,5,2671.31,0.09,12154.4605,2051.75
O1044,2022-02-14,West,Electronics,Laptop,Home Office,Cash,Express,1,71.22,0.24,54.1272,9.14
O1045,2022-02-15,West,Electronics,Snacks,Consumer,UPI,Same Day,5,3958.4,0.13,17219.04,2906.68
O1046,2022-02-16,West,Groceries,Microwave,Consumer,Cash,Express,6,1578.93,0.4,5684.148,959.52
O1047,2022-02-17,East,Home Appliances,Men,Consumer,Wallet,Standard,2,3839.67,0.08,7064.9928,1192.61
O1048,2022-02-18,South,Clothing,TV,Corporate,Wallet,Express,3,4726.73,0.32,9642.529199999999,1627.72
O1049,2022-02-19,,Electronics,Washing Machine,Home Office,Credit Card,Same Day,5,4881.62,0.04,23431.775999999998,3955.43
O1050,2022-02-20,East,Clothing,Laptop,Home Office,Cash,Express,3,4475.85,0.14,11547.693000000001,1949.32
O1051,2022-02-21,South,Groceries,Indoor,Home Office,Wallet,Express,5,1060.51,0.1,4772.295,805.59
O1052,2022-02-22,East,Home Appliances,Fruits,Consumer,Wallet,Standard,5,1013.27,0.39,3090.4735,521.69
O1053,2022-02-23,West,Home Appliances,Indoor,Home Office,UPI,Same Day,8,3147.61,0.01,24929.071200000002,4208.18
O1054,2022-02-24,East,Home Appliances,Men,Consumer,Credit Card,Standard,9,2743.07,0.29,17528.2173,2958.87
O1055,2022-02-25,West,Groceries,Outdoor,Corporate,Cash,Express,8,97.2,0.1,699.84,118.14
